date,wla,global_lei,global_lei_8m,pct_g20_rising,cb_net_cutters,usmlei
1972-09-30,,102.4562,2.9225176984338788,87.5,,30.692475291488375
1972-10-31,,102.7256,2.9833112124197925,87.5,,32.29043955796203
1972-11-30,,102.9658,2.963997366047437,87.5,,35.551658085300204
1972-12-31,,103.1466,2.8265288962531656,87.5,,32.36024279773827
1973-01-31,25.257602866876095,103.2492,2.55781164539313,75.0,,28.639546552452387
1973-02-28,22.603591790848913,103.2592,2.1498317086180663,62.5,,25.666214938059436
1973-03-31,19.713192285938216,103.1842,1.6314406919892406,50.0,,25.50141870134293
1973-04-30,16.751884661720876,103.0318,1.0270290055909754,37.5,,17.593999222555368
1973-05-31,13.641149159617777,102.8286,0.39353803277543875,25.0,,12.823651643595316
1973-06-30,9.30724996080285,102.5959,-0.22603521186216824,25.0,,9.36113142771659
1973-07-31,10.877878562646522,102.356,-0.7892274532644876,12.5,,7.268176125340197
1973-08-31,-8.324144706440544,102.126,-1.2636143554746013,12.5,,-1.9915117855067397
1973-09-30,-11.483924502555794,101.9023,-1.6540469438094334,12.5,,-9.10897277027885
1973-10-31,-12.471672024912422,101.6789,-1.9704907507522478,0.0,,-12.815476442420103
1973-11-30,-19.582803277597073,101.4405,-2.2412889903727518,0.0,,-16.67504470691394
1973-12-31,-22.968733504693752,101.1891,-2.465341586958502,12.5,,-21.0234297620267
1974-01-31,-28.688011305924196,100.9393,-2.6236694938517786,12.5,,-28.927037629932443
1974-02-28,-31.424294549269185,100.6706,-2.7645154981227904,12.5,,-28.096450134994967
1974-03-31,-21.762410548887132,100.3732,-2.9162328966438054,12.5,,-27.33520873670179
1974-04-30,-18.91881365706423,100.0311,-3.115832117209763,12.5,,-27.48162083631182
1974-05-31,-24.629140285025592,99.63775,-3.380133745683551,0.0,,-25.345454029751323
1974-06-30,-27.03395033928028,99.18756,-3.719449295943704,0.0,,-28.05802790973298
1974-07-31,-35.5515366660427,98.68409,-4.123788111250491,0.0,,-34.131596483626446
1974-08-31,-36.24136485692393,98.14552,-4.554184634011122,0.0,,-33.77937446301158
1974-09-30,-49.96484273949472,97.60102,-4.952007019433623,0.0,,-36.663738596951944
1974-10-31,-59.54704763937109,97.09768,-5.2308131262064705,0.0,,-39.915869836285
1974-11-30,-74.04134088762255,96.68848,-5.30022569076543,0.0,,-45.35508601375864
1974-12-31,-81.62611932679943,96.42488,-5.080643753567941,12.5,,-49.175246006290614
1975-01-31,-76.91371155335881,96.34391,-4.523398089982379,33.33333333333333,,-44.54275642787
1975-02-28,-65.63479792845936,96.43691,-3.664898685619022,100.0,,-39.27003168947267
1975-03-31,-58.58319741477703,96.66238,-2.6050149184966784,100.0,,-40.19845669545691
1975-04-30,-41.56377287525045,96.99597,-1.4103368609289788,100.0,,-32.07329642798021
1975-05-31,-28.93709818787678,97.39722,-0.1797446589171443,100.0,,-25.912759423132357
1975-06-30,-13.800678077021594,97.83134,1.0000046043908242,100.0,,-18.448067065044405
1975-07-31,-2.5102456910740893,98.27354,2.0631700922380816,100.0,,-6.167113130687757
1975-08-31,4.9655067215740365,98.70613,2.9610391880632108,100.0,,-2.1753929685467903
1975-09-30,18.40559068427251,99.12624,3.6794611622593436,88.88888888888889,,4.035387250837427
1975-10-31,20.491067951152928,99.52978,4.208325974150753,88.88888888888889,,10.891983524064681
1975-11-30,32.14693476936659,99.91124,4.544608596294893,88.88888888888889,,20.60778038925515
1975-12-31,36.439735055219394,100.2625,4.691361654162662,88.88888888888889,,25.58528881068519
1976-01-31,36.87050193713859,100.5678,4.648051392623145,80.0,,33.415309318161064
1976-02-29,38.62107855158023,100.803,4.407831174084549,90.0,,39.410494017152175
1976-03-31,33.09680300668553,100.9615,4.00060758022407,80.0,,41.450290000989
1976-04-30,27.9355745302447,101.055,3.484934006191139,80.0,,33.53038088261992
1976-05-31,32.915814352336604,101.0927,2.90746134949768,60.0,,33.95275331600932
1976-06-30,27.11307329607062,101.0863,2.3102843770509622,40.0,,28.688213855219313
1976-07-31,23.89387364111036,101.0471,1.7262580178404363,40.0,,24.300003771609706
1976-08-31,21.495648630129544,100.9847,1.178656385109548,20.0,,20.345102248889628
1976-09-30,21.180621678623936,100.9156,0.6988149925348068,10.0,,20.113911079151674
1976-10-31,18.1055928741638,100.8561,0.31437954268594126,20.0,,15.450665767508497
1976-11-30,15.934796532527555,100.8227,0.050200424387696785,30.0,,15.171241911153349
1976-12-31,27.213151488438587,100.814,-0.10475425670814786,40.0,,17.016971635110266
1977-01-31,18.998842225213565,100.8203,-0.17720962239486937,40.0,,16.545757625336154
1977-02-28,12.018775376304195,100.8375,-0.18419325719631274,40.0,,16.779522543921708
1977-03-31,19.01731783824755,100.851,-0.16477106023462795,40.0,,19.38011336040695
1977-04-30,14.382048409718278,100.8486,-0.1523419638622272,40.0,,25.29594263609306
1977-05-31,10.510590120846754,100.8315,-0.15218510584776368,50.0,,20.49074479082003
1977-06-30,10.521290917538106,100.808,-0.15538736859031133,30.0,,21.8367869739408
1977-07-31,9.335335662018093,100.79,-0.14592767554675845,40.0,,18.306994387104393
1977-08-31,7.648271755177746,100.784,-0.11773836133676241,60.0,,19.51431630690697
1977-09-30,4.605252416844832,100.7905,-0.07525340352357546,60.0,,17.966149049086045
1977-10-31,5.040228988008017,100.8076,-0.02487125508405086,80.0,,22.783119211069295
1977-11-30,7.592572784174322,100.83,0.023547327426882703,80.0,,22.589704864071702
1977-12-31,7.6831924352109935,100.86,0.07738104561234138,60.0,,21.509147424834957
1978-01-31,1.067037825122647,100.9025,0.14821760570660558,60.0,,14.95087147311233
1978-02-28,-1.72497778091711,100.9714,0.26192689418643056,70.0,,15.333523525374712
1978-03-31,1.03598190548191,101.0873,0.45397139318961877,80.0,,12.782003545567076
1978-04-30,4.877657251899944,101.2364,0.6913756415286088,80.0,,15.799208161134537
1978-05-31,2.6332820818942353,101.396,0.9249225063583566,80.0,,16.74933857564411
1978-06-30,0.896187888031115,101.5507,1.1223171905140958,90.0,,16.3268121819768
1978-07-31,-1.7044575252491838,101.6853,1.255250334261774,90.0,,13.550648929159006
1978-08-31,0.6711118054997384,101.7889,1.3075846988320734,90.0,,8.893674569519899
1978-09-30,3.2640509902419597,101.8559,1.275765240405093,90.0,,10.396166830991262
1978-10-31,-1.0439191949849713,101.8783,1.1529284762376193,80.0,,5.707317974111674
1978-11-30,-6.562278389643364,101.8647,0.9636786703158862,60.0,,3.468922650461635
1978-12-31,-8.332418084893924,101.8317,0.7449909534848587,60.0,,2.1227188022338535
1979-01-31,-8.558781763506557,101.8047,0.5474306205117898,70.0,,-1.6678086201109221
1979-02-28,-10.219605406804302,101.7983,0.39843036104613816,70.0,,-2.181416669420244
1979-03-31,-11.504783695329415,101.8024,0.28027104444151973,70.0,,-3.7621107508955802
1979-04-30,-19.541605684662834,101.7927,0.154206499500134,80.0,,-11.385847596116989
1979-05-31,-17.1409302416794,101.7575,0.0061083234801628805,70.0,,-9.190966507846078
1979-06-30,-21.06007710343302,101.6852,-0.17959714341795063,50.0,,-12.030022459229134
1979-07-31,-23.817212362216353,101.5736,-0.40200440619342714,40.0,,-14.682108335032439
1979-08-31,-24.493199815988845,101.4294,-0.6461133190684194,40.0,,-15.056439536154397
1979-09-30,-27.849165778861597,101.2545,-0.9083307576184438,20.0,,-20.400869469068653
1979-10-31,-30.654253891121453,101.0455,-1.1957850903569778,20.0,,-21.794578013805992
1979-11-30,-40.51749610636819,100.8041,-1.5070814134136015,20.0,,-24.236549897142044
1979-12-31,-43.07644251646716,100.5353,-1.8338632491596911,20.0,,-28.86678015926564
1980-01-31,-40.56007724144418,100.2453,-2.1639245316247013,20.0,,-27.949204759773345
1980-02-29,-39.89575591260603,99.93034,-2.5001967168884676,10.0,,-28.884970937046834
1980-03-31,-59.50663523090276,99.60893,-2.802817072575664,10.0,,-39.16111944092154
1980-04-30,-88.58494591223509,99.34762,-2.949514938338268,10.0,,-49.02399258665869
1980-05-31,-91.75249723280191,99.20536,-2.8442804401427253,40.0,,-59.588971349577896
1980-06-30,-72.76765011985312,99.21588,-2.445483405712551,50.0,,-51.4837770444252
1980-07-31,-53.6069707203273,99.34919,-1.8328046132809845,50.0,,-41.68289233952196
