date,spx_yoy
2008-01-05,0.1362013462709477
2008-01-12,-2.0765596124410646
2008-01-19,-7.361765717843416
2008-01-26,-6.438711337600223
2008-02-02,-3.6571621018791856
2008-02-09,-7.424586956100998
2008-02-16,-7.251607375645186
2008-02-23,-6.758588469793613
2008-03-01,-4.075927050853256
2008-03-08,-7.803453948441819
2008-03-15,-7.124261148713407
2008-03-22,-7.422828103227874
2008-03-29,-7.434934880110589
2008-04-05,-5.081175877940513
2008-04-12,-8.26100571621965
2008-04-19,-6.334087046697745
2008-04-26,-6.440794870933841
2008-05-03,-6.09184063711814
2008-05-10,-7.807547112607627
2008-05-17,-6.396324046236246
2008-05-24,-9.22327383895768
2008-05-31,-8.849601257681638
2008-06-07,-9.749480055312866
2008-06-14,-11.277896355824069
2008-06-21,-12.287695511859154
2008-06-28,-14.964577400910384
2008-07-05,-17.481242468512516
2008-07-12,-20.161675347222218
2008-07-19,-17.82282290765107
2008-07-26,-13.790050936610122
2008-08-02,-12.054623877349435
2008-08-09,-10.822491591731731
2008-08-16,-10.21757446513929
2008-08-23,-12.65201028566798
2008-08-30,-12.968882790668868
2008-09-06,-14.532694653663969
2008-09-13,-15.667849003073941
2008-09-20,-17.740130686240374
2008-09-27,-20.53250240502702
2008-10-04,-29.427512722205094
2008-10-11,-42.424129684344535
2008-10-18,-37.32299202784377
2008-10-25,-42.89185016411685
2008-11-01,-35.829497941021195
2008-11-08,-35.957211150494054
2008-11-15,-40.13395232367402
2008-11-22,-44.469351259009535
2008-11-29,-39.489853668756226
2008-12-06,-41.77621606053784
2008-12-13,-40.07084643679744
2008-12-20,-40.188349416842584
2008-12-27,-40.966797640976274
2009-01-03,-33.99120275356269
2009-01-10,-36.44987486446991
2009-01-17,-35.84919651479797
2009-01-24,-37.47604321583229
2009-01-31,-40.8149532847631
2009-02-07,-34.75501580424884
2009-02-14,-38.75213647236606
2009-02-21,-43.09036248868596
2009-02-28,-44.756241467724344
2009-03-07,-47.16283758995863
2009-03-14,-41.26803148806395
2009-03-21,-42.19374262832161
2009-03-28,-37.96170826046692
2009-04-04,-38.5216006282381
2009-04-11,-35.733737550880186
2009-04-18,-37.45369782194835
2009-04-25,-38.030818859839286
2009-05-02,-37.936204513830106
2009-05-09,-33.06609899593679
2009-05-16,-38.05872101552635
2009-05-23,-35.534513719812566
2009-05-30,-34.364957265627794
2009-06-06,-30.910280907580557
2009-06-13,-30.427269869780783
2009-06-20,-30.10023727171154
2009-06-27,-28.119962694637344
2009-07-04,-29.018927422536002
2009-07-11,-29.07324691532378
2009-07-18,-25.406926038473433
2009-07-25,-22.142538945239366
2009-08-01,-21.647853737628896
2009-08-08,-22.05010936062338
2009-08-15,-22.655209935181052
2009-08-22,-20.590462493654172
2009-08-29,-19.792171296390126
2009-09-05,-18.184673996394217
2009-09-12,-16.69489325356941
2009-09-19,-14.881913006857383
2009-09-26,-13.920233083290778
2009-10-03,-6.733806468750537
2009-10-10,19.15771725983213
2009-10-17,15.642982066611278
2009-10-24,23.13376957883746
2009-10-31,6.96154233870967
2009-11-07,14.856234765631648
2009-11-14,25.213847402530455
2009-11-21,36.4173799628493
2009-11-28,21.785459489365167
2009-12-05,26.24333343481824
2009-12-12,25.7670033696197
2009-12-19,24.168802612987704
2009-12-26,29.065077477516542
2010-01-02,19.6716022960171
2010-01-09,28.59886694726319
2010-01-16,33.63172679408339
2010-01-23,31.22903945507003
2010-01-30,30.027363390346686
2010-02-06,22.748097095791753
2010-02-13,30.074739349020852
2010-02-20,44.038706775944746
2010-02-27,50.25234323462486
2010-03-06,66.62763660566009
2010-03-13,52.00449524679285
2010-03-20,50.92253592210587
2010-03-27,42.97496903322704
2010-04-03,39.8338249953635
2010-04-10,39.43798432350742
2010-04-17,37.08947083163772
2010-04-24,40.52619474543682
2010-05-01,35.23223573180143
2010-05-08,19.548446373031258
2010-05-15,28.633568257294485
2010-05-22,22.625698016488172
2010-05-29,18.52492730352695
2010-06-05,13.274258258515626
2010-06-12,15.365505568221804
2010-06-19,21.306300647857945
2010-06-26,17.179233992536027
2010-07-03,14.073764149045287
2010-07-10,22.616672727623644
2010-07-17,13.239328713238097
2010-07-24,12.601354408784339
2010-07-31,11.55668948984825
2010-08-07,11.000716127807063
2010-08-14,7.485381901452737
2010-08-21,4.439977030848108
2010-08-28,3.4657275274217136
2010-09-04,8.668829519396803
2010-09-11,6.408185207193973
2010-09-18,5.362717810883932
2010-09-25,9.98583260641821
2010-10-02,11.805389521010845
2010-10-09,8.741102113254517
2010-10-16,8.137492950554282
2010-10-23,9.58502990078225
2010-10-30,14.19335031951585
2010-11-06,14.640411447598822
2010-11-13,9.6691281374375
2010-11-20,9.927795552528163
2010-11-27,8.970309856773252
2010-12-04,10.735273925883227
2010-12-11,12.110337586889086
2010-12-18,12.82938014051811
2010-12-25,11.566121131445573
2011-01-01,12.782713853760175
2011-01-08,11.049976566354736
2011-01-15,13.838539200834532
2011-01-22,17.548725370646466
2011-01-29,18.854234835104975
2011-02-05,22.949011635601902
2011-02-12,23.583231429311446
2011-02-19,21.082427090128107
2011-02-26,19.501309794824962
2011-03-05,16.022664535501384
2011-03-12,13.416641916253091
2011-03-19,10.286225882589184
2011-03-26,12.6188367224896
2011-04-02,13.098214225579841
2011-04-09,11.202562805087624
2011-04-16,10.699340533808922
2011-04-23,9.866256957760955
2011-04-30,14.908700054848278
2011-05-07,20.643088837777192
2011-05-14,17.794621395345047
2011-05-21,22.578132680669547
